TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS,code,mass,masscomm
513,spuh,aythya1,Aythya sp.,Aythya sp.,Aythya sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,1050,Using mass for REDH/GRSC
514,species,steeid,Polysticta stelleri,Steller's Eider,Steller's Eider,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,3,860,NA
515,species,speeid,Somateria fischeri,Spectacled Eider,Spectacled Eider,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,3,1570,NA
516,species,kineid,Somateria spectabilis,King Eider,King Eider,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,2,1670,NA
517,species,comeid,Somateria mollissima,Common Eider,Common Eider,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,2150,NA
525,spuh,eider1,Somateria sp.,eider sp.,eider sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,1670,Using mass for KIEI
526,species,harduc,Histrionicus histrionicus,Harlequin Duck,Harlequin Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,600,NA
529,species,labduc,Camptorhynchus labradorius,Labrador Duck,Labrador Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,6,NA,NA
530,species,sursco,Melanitta perspicillata,Surf Scoter,Surf Scoter,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,950,NA
531,species,whwsco,Melanitta fusca,White-winged Scoter,Velvet/White-winged Scoter,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,1670,NA
537,species,blksco2,Melanitta americana,Black Scoter,Black Scoter,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,950,NA
